Old Key,New Key
dmp.steps.people.general.recommendations,dmp.steps.people.general.recommendations
dmp.steps.people.general.search,dmp.steps.people.general.search
dmp.steps.people.label,dmp.steps.people.label
dmp.steps.people.manual.input.hide,dmp.steps.people.view.button.manualContributor
dmp.steps.people.manual.input.question.firstname,dmp.steps.people.manual.input.question.firstname
dmp.steps.people.manual.input.question.lastname,dmp.steps.people.manual.input.question.lastname
dmp.steps.people.manual.input.question.mbox,dmp.steps.people.manual.input.question.mbox
dmp.steps.people.manual.input.question.orcid,dmp.steps.people.manual.input.question.orcid
dmp.steps.people.nopeople,dmp.steps.people.nopeople
dmp.steps.people.search,dmp.steps.people.search
dmp.steps.people.search.service,dmp.steps.people.search.service
dmp.steps.project.input.acronym,dmp.steps.project.input.acronym
dmp.steps.project.input.button.existing,dmp.steps.project.input.button.existing
dmp.steps.project.input.button.new,dmp.steps.project.input.button.new
dmp.steps.project.input.date,dmp.steps.project.input.date
dmp.steps.project.input.datehint,dmp.steps.project.input.datehint
dmp.steps.project.input.description,dmp.steps.project.input.short.description
dmp.steps.project.input.info,dmp.steps.project.input.info
dmp.steps.project.input.title,dmp.steps.project.input.title
dmp.steps.project.label,dmp.steps.project.view.button.choose
dmp.steps.project.list,dmp.steps.project.list
dmp.steps.project.manual.input,dmp.steps.project.view.button.manual
dmp.steps.project.search,dmp.steps.project.search
dmp.steps.project.select,dmp.steps.project.select
dmp.steps.project.selected,dmp.steps.project.selected
dmp.steps.project.success,dmp.steps.project.success
dmp.steps.project.warning.dmp,dmp.steps.project.warning.dmp
dmp.steps.repositories.add,dmp.steps.repositories.add
dmp.steps.repositories.filter,dmp.steps.repositories.filter
dmp.steps.repositories.filter.find,dmp.steps.repositories.filter.find
dmp.steps.repositories.filter.reset,dmp.steps.repositories.filter.reset
dmp.steps.repositories.filters,dmp.steps.repositories.filters
dmp.steps.repositories.find,dmp.steps.repositories.find
dmp.steps.repositories.find.other,dmp.steps.repositories.find.other
dmp.steps.repositories.heading,dmp.steps.repositories.heading
dmp.steps.repositories.label,dmp.steps.repositories.label
dmp.steps.repositories.loading.failed.all,dmp.steps.repositories.loading.failed.all
dmp.steps.repositories.loading.failed.recommended,dmp.steps.repositories.loading.failed.recommended
dmp.steps.repositories.loading.load.all,dmp.steps.repositories.loading.load.all
dmp.steps.repositories.loading.load.recommended,dmp.steps.repositories.loading.load.recommended
dmp.steps.repositories.nodatafilter,dmp.steps.repositories.nodatafilter
dmp.steps.repositories.norepositories,dmp.steps.repositories.norepositories
dmp.steps.repositories.question.datasets,dmp.steps.repositories.question.datasets
dmp.steps.repositories.recommended,dmp.steps.repositories.recommended
dmp.steps.repositories.recommended.none,dmp.steps.repositories.recommended.none
dmp.steps.repositories.selected,dmp.steps.repositories.selected
