old_key,new_key,default_value_en,default_value_de,context,file_source
dashboard.tool.bulletpoints.madmp.prefix,ui.dashboard.tool.bulletpoints.madmp.prefix,Is compatible with the,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.madmp.rda.link,ui.dashboard.tool.bulletpoints.madmp.rda.link,https://doi.org/10.15497/rda00039,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.madmp.rda.text,ui.dashboard.tool.bulletpoints.madmp.rda.text,RDA recommendation on machine actionable DMPs,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.madmp.suffix,ui.dashboard.tool.bulletpoints.madmp.suffix,.,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.supports,ui.dashboard.tool.bulletpoints.supports,Delivers DMPs for FWF and Horizon Europe projects in the funder-specific formats,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.description,ui.dashboard.tool.description,"DAMAP guides you through creating a DMP using pre-filled information and customizable templates. It aligns with Science Europe guidelines and national funder requirements, saving you time and effort.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.heading,ui.dashboard.tool.heading,About DAMAP,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.link,ui.dashboard.tool.link,https://www.damap.org,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.welcome.message,ui.dashboard.welcome.message,"Welcome to DAMAP, a service that helps you to create the Data Management Plan (DMP) for your project.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dialog.delete.button,ui.dialog.delete.button,Delete,,Button label,libs/damap/src/assets/i18n/en.json
dialog.delete.cancel,ui.dialog.delete.cancel,Cancel,,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.delete.content.dmp,ui.dialog.delete.content.dmp,You are about to delete this DMP. This action cannot be undone. Are you sure you want to proceed?,,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.delete.content.storage,ui.dialog.delete.content.storage,You are about to delete this storage. This action cannot be undone. Are you sure you want to proceed?,,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.delete.content.storageTranslation,ui.dialog.delete.content.storageTranslation,You are about to delete this storage translation. This action cannot be undone. Are you sure you want to proceed?,,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.delete.title,ui.dialog.delete.title,Please note:,,Page or section title,libs/damap/src/assets/i18n/en.json
dialog.export.button,ui.dialog.export.button,OK,,Button label,libs/damap/src/assets/i18n/en.json
dialog.export.cancel,ui.dialog.export.cancel,Cancel,,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.export.content,ui.dialog.export.content,"Please note that you are not done yet. 
  The exported document may still require fine-tuning.",,Dialog box content,libs/damap/src/assets/i18n/en.json
dialog.export.title,ui.dialog.export.title,The file download has started.,,Page or section title,libs/damap/src/assets/i18n/en.json
dialog.export.type,ui.dialog.export.type,Choose type of export,,Dialog box content,libs/damap/src/assets/i18n/en.json
dmp.dialog.button.cancel,dmp.dialog.button.cancel,Cancel,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.dialog.button.save,dmp.dialog.button.save,Save,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.dialog.description,dmp.dialog.description,Please enter a version name,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.dialog.label,dmp.dialog.label,Version name,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.dialog.title,dmp.dialog.title,Save new version,,Page or section title,libs/damap/src/assets/i18n/templates/en.json
dmp.error.load,dmp.error.load,DMPs were not loaded.,,Error message,libs/damap/src/assets/i18n/en.json
dmp.error.save,dmp.error.save,DMP was not updated.,,Error message,libs/damap/src/assets/i18n/en.json
dmp.nodatasets,dmp.nodatasets,Please declare any new or existing dataset first.,,General UI text,libs/damap/src/assets/i18n/templates/en.json
dmp.nonewdataset,dmp.nonewdataset,Please declare a produced (i.e. new) dataset first.,,General UI text,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.addButton,dmp.steps.costs.addButton,Add cost,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.greeting,dmp.steps.costs.greeting,"Step 10, you’re almost there, Firstname!",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.infoBox.description,dmp.steps.costs.infoBox.description,Researchers are encouraged to consider costs arising from data management activities. Data management costs are eligible for many funders and are thus relevant for the proposals. Please follow this,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.infoBox.links,dmp.steps.costs.infoBox.links,"[{'url': 'https://www.tuwien.at/en/research/rti-support/research-data/info-and-guidelines/cost-calculation', 'title': 'Data Management Costs Link', 'text': ' to find out more about possible data management costs that may also be eligible for funding.'}]",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.instructions,dmp.steps.costs.instructions,"In this step, you will provide information on the resources required to manage your data and a clear statement on how these costs will be covered.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.intro,dmp.steps.costs.intro,In this step you are asked to provide a realistic estimation of necessary resources for data management and a clear statement on how these costs will be covered.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.label,dmp.steps.costs.label,Costs,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.description,dmp.steps.costs.question.description,Description (optional),,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.exist.label,dmp.steps.costs.question.exist.label,Select the statement which best describes the situation in your project with respect to costs of data management.,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.exist.no,dmp.steps.costs.question.exist.no,There are no costs dedicated to data management.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.exist.yes,dmp.steps.costs.question.exist.yes,"As outlined below, there are costs dedicated to data management.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.other,dmp.steps.costs.question.other,Please specify the cost type,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.title,dmp.steps.costs.question.title,Name,,Page or section title,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.type,dmp.steps.costs.question.type,Cost Type,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.question.value,dmp.steps.costs.question.value,Estimated cost,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.rightLabel,dmp.steps.costs.rightLabel,Data management costs,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.costs.summaryLine,dmp.steps.costs.summaryLine,Estimate the costs for data management in this project. ,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.aria.other,dmp.steps.data.access.aria.other,Access right for other project members for dataset {{dataset}},,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.aria.public,dmp.steps.data.access.aria.public,Access right for the public for dataset  {{dataset}},,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.aria.selected,dmp.steps.data.access.aria.selected,Access right for selected project members for dataset {{dataset}},,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.heading,dmp.steps.data.access.heading,Planned access rights for all datasets,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.question.dataset,dmp.steps.data.access.question.dataset,Dataset,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.question.other,dmp.steps.data.access.question.other,for other project members,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.question.public,dmp.steps.data.access.question.public,public,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.question.right,dmp.steps.data.access.question.right,Access right,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.access.question.selected,dmp.steps.data.access.question.selected,for selected project members,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.deletion.question.date,dmp.steps.data.deletion.question.date,Date of deletion,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.deletion.question.delete,dmp.steps.data.deletion.question.delete,Mark dataset for deletion,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.deletion.question.label,dmp.steps.data.deletion.question.label,"Does this dataset have to be deleted, e.g. for contractual, regulatory, or ethical reasons? If yes, please add an estimated date for the deletion, the reason for deletion, and a responsible person.",,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.deletion.question.person,dmp.steps.data.deletion.question.person,Person responsible for deletion,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.deletion.question.reason,dmp.steps.data.deletion.question.reason,Reason for deletion,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.greeting,dmp.steps.data.reuse.greeting,"On to Step 9, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.instructions,dmp.steps.data.reuse.instructions,This step helps you think about future research uses or users of your data and what potential users may require to access your data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
